SchoolYear,OrganizationLevel,County,DistrictCode,DistrictName,SchoolName,GradeLevel,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Foster Care,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,Non-English Language Learners,Non-Foster Care,Non-Highly Capable,Non-Homeless,Non-Low Income,Non Migrant,Non Military Parent,Non Mobile,Non Section 504,Students without Disabilities
2019-20,District,Franklin,11051,North Franklin School District,District Total,12th Grade,161,71,0,90,0,2,5,103,1,3,47,32,0,2,0,104,32,1,5,1,18,129,161,159,161,57,129,160,156,160,143
2019-20,District,Kitsap,18400,North Kitsap School District,District Total,12th Grade,452,240,0,212,22,17,2,45,0,48,318,15,0,77,8,118,5,25,15,17,48,437,452,375,444,334,447,427,437,435,404
2019-20,District,Mason,23403,North Mason School District,District Total,12th Grade,209,96,0,113,4,2,1,33,1,9,159,19,0,5,20,101,1,12,17,13,27,190,209,204,189,108,208,197,192,196,182
2019-20,District,Pacific,25200,North River School District,District Total,12th Grade,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,3,3,3,3,2,3,3,3,3,2
2019-20,District,Thurston,34003,North Thurston Public Schools,District Total,12th Grade,1125,529,1,595,22,89,75,216,32,148,543,45,0,19,71,470,2,125,46,90,141,1080,1119,1106,1054,655,1123,1000,1079,1035,984
2019-20,District,Stevens,33211,Northport School District,District Total,12th Grade,21,7,0,14,0,0,0,2,0,0,19,0,0,0,2,15,0,0,0,0,2,21,21,21,19,6,21,21,21,21,19
2019-20,District,King,17417,Northshore School District,District Total,12th Grade,1637,809,3,825,4,275,37,207,6,124,984,60,0,123,8,11,0,0,38,183,201,1577,1636,1514,1629,1626,1637,1637,1599,1454,1436
2019-20,District,Island,15201,Oak Harbor School District,District Total,12th Grade,453,226,2,225,3,44,21,71,1,33,280,17,0,23,26,157,2,117,17,37,71,436,452,430,427,296,451,336,436,416,382
2019-20,District,Whitman,38324,Oakesdale School District,District Total,12th Grade,12,8,0,4,0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,12,11,12,12,7,12,12,12,12,12
2019-20,District,Grays Harbor,14400,Oakville School District,District Total,12th Grade,14,6,0,8,5,0,0,2,0,1,6,3,0,0,1,11,0,0,0,0,1,11,14,14,13,3,14,14,14,14,13
2019-20,District,Pacific,25101,Ocean Beach School District,District Total,12th Grade,85,42,0,43,3,1,0,9,0,5,67,4,0,0,30,54,6,2,5,9,21,81,84,85,55,31,79,83,80,76,64
